Epoch,Train Loss,Train mAP,Train mAP@0.5,Val mAP,Val mAP@0.5,LR
1,0.21635373723418108,0.3357299268245697,0.7370169758796692,0.4243490993976593,0.9007380604743958,0.0001
2,0.2083727678937313,0.37555134296417236,0.7953867316246033,0.413745641708374,0.910184383392334,9.96057350657239e-05
3,0.19963151402870602,0.39013907313346863,0.8148185610771179,0.4264013171195984,0.9110257625579834,9.842915805643155e-05
4,0.20531053779257175,0.3970445990562439,0.8247591257095337,0.4261894226074219,0.9168821573257446,9.648882429441257e-05
5,0.198017169727868,0.4068795442581177,0.8368788361549377,0.4242803454399109,0.9177156686782837,9.381533400219318e-05
6,0.19213517344873468,0.41225436329841614,0.8436634540557861,0.42901986837387085,0.9122840166091919,9.045084971874738e-05
7,0.1902396725713731,0.41690415143966675,0.848791241645813,0.4453548491001129,0.9211482405662537,8.644843137107059e-05
8,0.1898580106245894,0.4232467710971832,0.8558517098426819,0.44209882616996765,0.9222671985626221,8.18711994874345e-05
9,0.1952665388909282,0.42978060245513916,0.8616456985473633,0.44555097818374634,0.9265258312225342,7.679133974894983e-05
10,0.19269440298530255,0.430835485458374,0.8653830885887146,0.44347259402275085,0.924113392829895,7.128896457825363e-05
11,0.18754562555141688,0.4370463192462921,0.8719815015792847,0.419260174036026,0.9174165725708008,6.545084971874737e-05
12,0.17598637214456866,0.4382365942001343,0.8764631748199463,0.44815027713775635,0.9287029504776001,5.936906572928624e-05
13,0.1769069827232607,0.44218677282333374,0.879690945148468,0.44505420327186584,0.9291712045669556,5.313952597646568e-05
14,0.1789985585396692,0.4460640251636505,0.8818700313568115,0.4526829719543457,0.9315926432609558,4.6860474023534335e-05
15,0.17543634388867435,0.44889622926712036,0.8859965801239014,0.4554278552532196,0.9315727949142456,4.0630934270713774e-05
16,0.1732293371152789,0.4526664912700653,0.887844979763031,0.45732581615448,0.9343911409378052,3.454915028125265e-05
17,0.17386526570810543,0.4547193944454193,0.8888313174247742,0.45642417669296265,0.9350390434265137,2.871103542174637e-05
18,0.1737464489043552,0.45702528953552246,0.8908578753471375,0.4640900492668152,0.9352167248725891,2.3208660251050158e-05
19,0.1719445541001432,0.4607406258583069,0.8954321146011353,0.46302899718284607,0.9363723993301392,1.8128800512565513e-05
20,0.1696261088619085,0.4636024534702301,0.8979445695877075,0.46223390102386475,0.937810480594635,1.3551568628929434e-05
21,0.1690933978410082,0.46374744176864624,0.8972518444061279,0.4672588109970093,0.939848005771637,9.549150281252635e-06
22,0.16982813454280196,0.4671080708503723,0.898199200630188,0.46475914120674133,0.9403488039970398,6.184665997806822e-06
23,0.1700493544736652,0.4673820436000824,0.9006856679916382,0.46788695454597473,0.9404834508895874,3.5111757055874332e-06
24,0.16908303320709223,0.4674854874610901,0.8992211222648621,0.4668349325656891,0.9376697540283203,1.570841943568452e-06
25,0.1688162251204617,0.4680544137954712,0.8993094563484192,0.4671488106250763,0.9371643662452698,3.942649342761118e-07
