Epoch,Train Loss,Train mAP,Train mAP@0.5,Val mAP,Val mAP@0.5,LR
1,0.28263336380428455,0.20706132054328918,0.4808959364891052,0.38643208146095276,0.8389015793800354,0.0001
2,0.1823831153993911,0.4050447344779968,0.8709087371826172,0.408641517162323,0.8913865685462952,9.938441702975689e-05
3,0.1685388156628989,0.4326319396495819,0.9073666930198669,0.4319283664226532,0.9085882306098938,9.755282581475769e-05
4,0.16202569332845668,0.4436814486980438,0.9212139844894409,0.4207201302051544,0.914302408695221,9.45503262094184e-05
5,0.1550691997513492,0.45151764154434204,0.9270979166030884,0.4424591362476349,0.9249607920646667,9.045084971874738e-05
6,0.15323098513515707,0.46009254455566406,0.9355113506317139,0.44012317061424255,0.9186716675758362,8.535533905932738e-05
7,0.14854888880347952,0.467343807220459,0.9421581625938416,0.45451620221138,0.9299217462539673,7.938926261462366e-05
8,0.14453606397072052,0.47468140721321106,0.9470987915992737,0.4495382010936737,0.9272628426551819,7.269952498697734e-05
9,0.13989264591735728,0.4822845160961151,0.95366370677948,0.45104748010635376,0.9246610999107361,6.545084971874738e-05
10,0.1342375700540365,0.4925213158130646,0.9578219056129456,0.44857677817344666,0.9292382597923279,5.782172325201156e-05
11,0.12837886487708447,0.5040282011032104,0.9625389575958252,0.4484158754348755,0.9315559267997742,5.000000000000001e-05
12,0.12215769546938704,0.5188828110694885,0.9681430459022522,0.4469014108181,0.9282272458076477,4.217827674798848e-05
13,0.11723711424844062,0.5384337306022644,0.9744420051574707,0.44664087891578674,0.9265785217285156,3.454915028125264e-05
14,0.11073482791160015,0.5608415007591248,0.9784517884254456,0.4451179504394531,0.9219707250595093,2.730047501302267e-05
15,0.10379150482885381,0.5856753587722778,0.9807631969451904,0.4398033320903778,0.9211702346801758,2.0610737385376356e-05
16,0.09673241506073069,0.6090989708900452,0.9826398491859436,0.43765828013420105,0.9200313687324524,1.464466094067263e-05
17,0.0914563276824799,0.6294890642166138,0.9834712147712708,0.4324542284011841,0.9194467663764954,9.549150281252635e-06
18,0.08687165680321607,0.6469702124595642,0.9845291972160339,0.43069103360176086,0.9169390797615051,5.4496737905816115e-06
19,0.08390147801726422,0.6558951735496521,0.9846504926681519,0.4300936460494995,0.9156465530395508,2.4471741852423237e-06
20,0.08245420961224652,0.6614171266555786,0.9848984479904175,0.4291355609893799,0.9154244065284729,6.155829702431171e-07
